"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2007-12-01,9041,11860,5702,9205,5916,7845,9111,2094,4965,6208
2008-01-01,12784,11758,4463,8521,7943,6787,11150,2304,8792,7827
2008-02-01,9756,8917,5209,7749,7462,5898,7328,2511,5502,5046
2008-03-01,11927,10572,9386,9451,6988,8151,8492,3228,6719,8551
2008-04-01,11665,14197,10829,12098,9723,10099,9039,3567,7666,8876
2008-05-01,10868,15157,6781,11159,9812,10934,9946,4530,8303,10494
2008-06-01,14859,15044,7990,13296,10871,9721,15509,4255,6396,9613
2008-07-01,14849,17157,8643,12100,9959,8221,15239,5042,11762,10546
2008-08-01,12673,13366,9791,11021,9651,11543,11350,4277,7471,7824
2008-09-01,12060,9424,8775,9666,10367,10328,9181,3538,8867,6816
2008-10-01,11696,9834,6487,11813,10402,9902,4942,4147,5427,6814
2008-11-01,10037,7615,4797,8352,6824,6483,4152,3044,4503,3620
2008-12-01,9910,9224,4672,9863,5864,7223,4882,1912,4016,4439
2009-01-01,9113,7207,4565,7807,5214,6656,4022,1812,5053,3251
2009-02-01,9691,5176,6885,7641,6220,6119,4559,2054,3364,2769
2009-03-01,12153,7985,3671,8364,7463,6485,5008,3235,4579,4094
2009-04-01,9000,7557,3293,9830,10114,6550,4601,2540,4420,4078
2009-05-01,7321,6860,3658,6522,7718,6952,4019,1619,3428,2941
2009-06-01,9018,6293,5900,8395,7920,5874,4182,1952,4770,3336
2009-07-01,7271,7663,2568,6914,6182,5630,3243,1352,3464,3067
2009-08-01,8999,6330,2414,5028,4043,5116,3223,1879,2305,2439
2009-09-01,6890,5169,2122,6492,5393,3947,3720,2068,3654,3316
2009-10-01,8144,6489,2405,5078,6126,3230,5027,3127,4418,3137
2009-11-01,7903,7580,2830,5729,8966,4428,6168,2367,5714,6031
2009-12-01,12194,8630,4054,12555,6056,5126,6876,1480,3827,4364
2010-01-01,11172,6177,4916,6014,5271,5623,6636,3298,4785,3592
2010-02-01,11779,6119,3345,9859,5385,4696,4656,2586,4365,3677
2010-03-01,10676,6984,3606,9769,7977,5746,6784,2515,4397,5289
2010-04-01,11834,6446,3210,10671,8614,4954,6049,2343,4862,5458
2010-05-01,14235,6064,4430,13701,6921,5799,6390,2614,6311,3937
2010-06-01,9147,8676,3952,9130,7758,5406,5471,1584,4359,4242
2010-07-01,4524,6064,3550,4718,4778,4316,2623,1412,2161,2767
2010-08-01,6631,6264,2531,5414,6558,4095,4839,1694,3476,3372
2010-09-01,6749,6783,3575,6961,6690,5272,5567,1960,3741,3972
2010-10-01,8929,6878,3318,6806,6116,3655,6093,1705,3016,5196
2010-11-01,12204,7303,3104,7849,8482,4901,6570,1778,4144,6778
2010-12-01,10489,10044,5580,11839,9328,8684,6142,2132,5103,5563
2011-01-01,11204,11929,5679,7803,7298,6784,6544,1995,4990,6903
2011-02-01,10772,11911,6696,9525,7557,6440,8335,2114,7537,5386
2011-03-01,12085,13561,3611,9742,13052,5554,11710,2742,5722,5796
2011-04-01,12602,11148,4177,9101,8105,6230,9243,3290,5287,5425
2011-05-01,7505,8483,2127,8455,7617,3713,6371,2114,4075,3719
2011-06-01,8284,8571,3661,7417,6340,4526,5485,1876,5387,4806
2011-07-01,6676,8459,4041,8884,6707,4789,5072,2578,7077,3911
2011-08-01,11401,8736,3349,9987,11095,5092,10870,1954,3926,4889
2011-09-01,11914,9960,3391,12892,8371,5565,6597,2321,6268,3411
2011-10-01,8508,9636,5538,9825,9645,7636,3930,3623,6836,5142
