"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01","2021-10-01","2022-01-01","2022-04-01","2022-07-01","2022-10-01","2023-01-01","2023-04-01"
"2019-01-01",0.710681871191336,0.71141204757387,0.701837912242289,0.721238458152062,0.72313353226312,0.718593719614427,0.724514531394798,0.723785601700165,0.721955170652674,0.716165505768188,0.739804497195247,0.745833862825827,0.74284642935294,0.755762352906347,0.752439138636411,0.745225219345266,0.755973169104977,0.758621229727729,0.735829372742729,0.741938516078373,0.725715066759115,0.744388818793785,0.74744863854148,0.751321769457039,0.765669007955386,0.734597237485434,0.760640807740689,0.79539664498078,0.791245994471397,0.81394605695027,0.796672383797165,0.746890045689116,0.809524854769699,0.779526095108301,0.768292568155438,0.803896899281692,0.782622768190263,0.807645228269673,0.808587078400152,0.804056756941152,0.835891075376689,0.84066934028207,0.831228802174308,0.823667182424176,0.82715265271014,0.815385346640496,0.816984806058599,0.834204004771062,0.842059497142502,0.84537296088907,0.839415856921173,0.850632737682222,0.83607715126556,0.812495894051441,0.848379478942628,0.830730588054986,0.830944563959991,0.846563003176045,0.858030944866157,0.852837242207338,0.845760381607054,0.840914399935097,0.879255937232538,0.87863293977856,0.869254899791875,0.874189478964117,0.860449422862757,0.88998197989831,0.892367261073029,0.892321361803655,0.892398558844245,0.921913185562824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-01",0.724476465480184,0.731165179944845,0.71772613933421,0.738295945282673,0.727169170869603,0.718302907573411,0.727585463229515,0.742268243825968,0.735522397722507,0.736720282784571,0.757091361624877,0.761603466294372,0.753937050766445,0.771899267793902,0.772567544697301,0.754213102688183,0.771511114513975,0.774910831055778,0.756571638382628,0.759795105540857,0.734689000323018,0.754876550389202,0.754832766807193,0.756454491875801,0.770605551843479,0.744371975941846,0.764355041463502,0.798438497902267,0.794687003926651,0.812576050791222,0.779718068140046,0.738964360631596,0.804780993413661,0.771704949645476,0.756160303728786,0.783818368298264,0.769133276556239,0.789209748552162,0.786828164925649,0.799099095238306,0.820992975100377,0.839265878912711,0.813436245531563,0.814800285381365,0.817016783786153,0.810742764706448,0.826908582823309,0.842681496764551,0.846226653330794,0.86108195321258,0.858800364050238,0.876444900663106,0.859711842808605,0.846812078301052,0.877038457986822,0.849172056455652,0.843713617663797,0.853152989196664,0.864700593242463,0.878168231182543,0.874717566262976,0.870192408531125,0.889716255048349,0.897501071481136,0.887247601026722,0.897322298160464,0.881531760996294,0.903534328865673,0.895928214649286,0.88339285997805,0.886815021927428,0.921357201455773,0.924572308522269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-07-01",0.727429715849637,0.744050840842235,0.729290763297179,0.755183221986834,0.72829159148301,0.724000089116346,0.734073565808426,0.757353785266171,0.747823265547785,0.734870128640808,0.761123053557756,0.757404502795146,0.748919392916405,0.746190749595474,0.735489139597706,0.742765123528364,0.735639548675599,0.751365387964749,0.726254487542075,0.73606055340119,0.699645354351896,0.730121152401509,0.712959247195284,0.723539510473582,0.740838813911014,0.707180222940295,0.746004403125203,0.776738753753304,0.763210647776571,0.785136405939011,0.751043662015547,0.720428573300713,0.788429679043105,0.752017333623514,0.729935414707239,0.769534370926229,0.741361676276293,0.79095292958703,0.775188798882493,0.784323474664679,0.816198274950915,0.828529483309057,0.821301196956903,0.832528521021761,0.829511924978899,0.827781501547226,0.848145875069302,0.859412353062295,0.858876949899207,0.869141603372199,0.856111939991884,0.879681870338085,0.863223110041842,0.863066139376945,0.880806278729901,0.855943186174884,0.855938168679936,0.867499912022283,0.854979010323012,0.883490925042924,0.894795659039971,0.892864223263204,0.911793272923653,0.915213975250246,0.895069639580836,0.899850352238625,0.888606722907006,0.902180001163196,0.886504278172459,0.880098435197797,0.878171743042641,0.909102336484049,0.904796150886526,0.937988709965278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-10-01",0.684281458093951,0.721285897091278,0.703731222266612,0.727836598250141,0.699274990435458,0.716156919296194,0.709587376165358,0.743169832976797,0.732420188673932,0.70844140697052,0.725337620599143,0.74388845665147,0.716096031983182,0.705872593445309,0.700073049300746,0.736837558481073,0.69957901723946,0.718196873298826,0.690934115929209,0.714103181984374,0.666691383086587,0.701498911065226,0.677301252139485,0.694788536545784,0.720572850512472,0.676199195055432,0.705640656855963,0.73161691289587,0.705839474112181,0.74878441401767,0.705362688573008,0.663254723799476,0.735558806425411,0.696800127412174,0.668816404440844,0.716557964776178,0.691152471041915,0.774236774506453,0.719553983156324,0.721653749244313,0.784109677401529,0.79874701077652,0.796360713025846,0.831751934185288,0.819648580794251,0.820610426982386,0.847995230972403,0.853267681598666,0.832023565153209,0.843530611911846,0.818587740091852,0.850204044706057,0.848354855760387,0.878157149253581,0.881693207302558,0.861955685254866,0.859016277198423,0.861729786006195,0.818644943368403,0.867328128947835,0.893681800997166,0.900687023083419,0.879475199128294,0.896016243913046,0.877148217497014,0.881049099172883,0.88149490130829,0.871106112209091,0.839677027677138,0.851227386399896,0.808727207016042,0.861357599583973,0.848491173112343,0.885508641023828,0.943146445230034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",0.713144039238568,0.745597477326708,0.726374429132964,0.753789974342526,0.728409380566125,0.742536459165492,0.733697178583066,0.76179244039231,0.753354609120118,0.731668236108151,0.758110882964132,0.768296628677398,0.745662709185551,0.744313543536333,0.733505870009174,0.75125703052344,0.732960629255923,0.745659359490164,0.716190452145377,0.738628326738519,0.694386990757579,0.72771648857619,0.699135031693713,0.71991053599036,0.741689866852027,0.695310399020612,0.727454957260612,0.759412299903906,0.742592489644714,0.780071051322558,0.744915890566395,0.693175081247046,0.766935028024181,0.739225208561995,0.714535901255759,0.761396434010704,0.731212425736865,0.799751728892047,0.761004399491847,0.766874595774835,0.818017988671989,0.812520603493741,0.812471452521071,0.817321300035175,0.81202625500015,0.81152237268547,0.824155849260606,0.825261554625517,0.82489393221649,0.832026827618765,0.821153759393285,0.84603296491733,0.824718779863618,0.827838924500562,0.832945939964158,0.808495492406278,0.828871802211369,0.846190706292582,0.818827825831381,0.837208513582606,0.858753501727502,0.857626605675188,0.875100137750082,0.884807883508958,0.867108482671541,0.865300562822954,0.852238468037915,0.872249878575251,0.838877501135492,0.851175373412978,0.831064410784444,0.87013028924281,0.856871965211999,0.87714154995969,0.933334566369093,0.928142762473938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-01",0.698198868080747,0.745692149361007,0.72613892553229,0.741497293687471,0.712070029231248,0.74896808097418,0.727452687623211,0.756497998619301,0.748592966569851,0.72332285144103,0.733000524261034,0.754576097968239,0.72507151259605,0.708670556962814,0.703392103218666,0.758015955425419,0.693017933966879,0.714558691058836,0.682060729041129,0.708413327757007,0.653888070768807,0.696169147798864,0.671050087629373,0.701589105474125,0.731875598429713,0.679015132008549,0.701037718412256,0.728494136262035,0.701429854789865,0.761899903134409,0.72046002760415,0.662488090372435,0.746955337885795,0.713689698369501,0.672483042327453,0.722030400921296,0.692173593419229,0.818970195885136,0.727406916422833,0.72481044821317,0.803046297555102,0.794506392010398,0.825925690748903,0.852562146484891,0.829233848084698,0.827777977348249,0.844756539530151,0.826455531400535,0.8033993828545,0.808968333966349,0.764918658653636,0.798090388803928,0.797240245648572,0.831548000476576,0.819095449008536,0.809280051938485,0.842768563380361,0.842981074245524,0.785589682846074,0.810530048104371,0.846123433210564,0.847191265948808,0.839295468740245,0.855413388840701,0.822767307186091,0.818548949870066,0.834503450306487,0.820266680222211,0.78543949084458,0.837635657910196,0.767916714946656,0.849134583643912,0.823156032918684,0.819068139388271,0.850590834470894,0.866413232921704,0.885242531657317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-01",0.686078840112039,0.697442151093749,0.684141241468337,0.707578308690033,0.701692466356277,0.700431994834839,0.694092218534095,0.71319648527236,0.708560865166481,0.716426249407416,0.733308445014192,0.744986352830537,0.741506600740087,0.748902127053766,0.755018469950228,0.725482004330794,0.750297205964679,0.741226356452641,0.716211041495811,0.726986305729056,0.700852094819812,0.723542738661585,0.712657496990971,0.719468740744754,0.725653336358658,0.704933810526619,0.729110729396634,0.762489435537026,0.753779174289699,0.780781211334291,0.755049969064191,0.690439822559124,0.766555683752779,0.753410897550334,0.74042983839723,0.766683075435816,0.763815396178134,0.779004108652232,0.774380186172574,0.811768260977549,0.812210733299287,0.806327377014342,0.784192661452604,0.759569917054067,0.773130634288754,0.761913211676469,0.766343067235509,0.788591432425508,0.809962498757747,0.803040292761311,0.806610950402059,0.819064016229976,0.787990568732535,0.756026060719716,0.783521597053429,0.760695238883853,0.793292423999927,0.804106946336251,0.835710774371118,0.821976467586356,0.803734104564911,0.793356899232339,0.846715951282882,0.855165094189596,0.853747913505044,0.835339690095732,0.823957994436042,0.868752109255351,0.847143621379262,0.845590663568763,0.842247264070602,0.858846764932146,0.843476876620679,0.85893195320607,0.869415135256384,0.833120210230313,0.899330008539027,0.849071766375472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-10-01",0.694853765478193,0.727597560962116,0.712395266267836,0.731297520123782,0.712936060936672,0.732907915530205,0.718507446318618,0.747925832310402,0.738445297245005,0.720368626534624,0.735632774249638,0.755343505224208,0.735923734717132,0.726078077855949,0.723782717006827,0.75706744498845,0.720296445490009,0.724764388628538,0.698389230074313,0.72401415366822,0.680609571237794,0.716067903497413,0.693588291915831,0.720715826409322,0.73868496641288,0.692490035037772,0.724545481428362,0.747798558995365,0.720688850917787,0.767447500297091,0.728843721330413,0.669407584588131,0.752388919200931,0.722712050332541,0.69673668166866,0.744886786775387,0.716589651253687,0.807475356087582,0.745376383692282,0.762635265823623,0.820813668214692,0.808263709536013,0.824004805556503,0.833165640954137,0.829115189424174,0.817636531172995,0.830702041340949,0.829765385356959,0.82891371682732,0.822584996831443,0.790679248730802,0.81621791145429,0.80460286705034,0.815258214669871,0.814703257323288,0.806987228280992,0.833045063120515,0.838420807402987,0.811225424634771,0.82877326429727,0.848735651818517,0.84420170167743,0.862776433340937,0.871248454877291,0.850372595001954,0.836137502525394,0.845692017867953,0.853256849309835,0.826749875100126,0.860009534576616,0.811214327968365,0.859512563372492,0.842349030407703,0.837879067798478,0.88651114698504,0.896626215069864,0.924757850030856,0.915963755559321,0.908496094951219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",0.648551785754885,0.667536079263345,0.646672971956494,0.672474757897106,0.677433751263873,0.66801381413741,0.673624493612611,0.682248541630454,0.674217476730323,0.673882970429474,0.701230053639259,0.710434607967276,0.711610876400953,0.718086464684046,0.710817387924076,0.70357093829208,0.726240526921501,0.719514006635003,0.677047801677337,0.697652519193527,0.67294259464498,0.701367672620365,0.692036094521157,0.702935942464363,0.713376025070965,0.702313539985637,0.708311654003065,0.755775049702203,0.731997192483764,0.774571513576023,0.761083244993772,0.681424789791829,0.759738518957301,0.755896887904863,0.720427879170976,0.771292949449007,0.764828572413628,0.781946543693488,0.768802765243654,0.781671364714378,0.820755492650559,0.799365266813884,0.78188532395536,0.748934695361471,0.756485210648105,0.752285428917703,0.737668368405642,0.76402094065057,0.770387499916935,0.768247071267169,0.7620299799806,0.775974393341046,0.749288655337774,0.720414273280534,0.744166418992847,0.725494174815764,0.757377346262862,0.773952651389773,0.79462698944212,0.786325674793374,0.780513273691522,0.765430330218937,0.816612338014881,0.839986240704867,0.834899485684739,0.798946257089592,0.784280623089455,0.845372862108041,0.822038845354436,0.820787389550115,0.821884465307841,0.838722824373273,0.830834216229004,0.822062280225369,0.836189711050679,0.809118373986571,0.869160382926028,0.835316270784906,0.926935494666468,0.903357729698931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-04-01",0.666972993982987,0.683696325614062,0.662670438002826,0.686845956593099,0.692076487850254,0.683905939470976,0.68273346724216,0.695087909933765,0.686058228230368,0.692586697942966,0.716347595556866,0.727383321423274,0.721174741304963,0.744282500591576,0.743426398329007,0.716974086838177,0.748597809893684,0.737406007107306,0.706998148309955,0.719738947811105,0.69715754245277,0.724075663075372,0.715211296373096,0.723085049049506,0.726640985379772,0.717949382074014,0.713288420090002,0.759927978153581,0.747168032694824,0.785741051579363,0.766463982695672,0.676358730199963,0.755029030310219,0.748000602473545,0.719912877252938,0.757774852177167,0.762136858954564,0.765883725823693,0.761077470641746,0.785832649266105,0.81212782090485,0.802266839826145,0.768524638324382,0.734587176438123,0.738750198163163,0.73880162472818,0.729022358687298,0.758785175372279,0.766771911687122,0.770534258355294,0.77418209700124,0.788863895077334,0.762848816902666,0.729657703714691,0.760670134667656,0.733164894830711,0.765727211506723,0.787607891321995,0.810959920055433,0.802961322359014,0.785813264312583,0.776613761917682,0.82166270901262,0.844323123291598,0.858465565543109,0.830055791284277,0.810609605537138,0.867838549896588,0.838428604308923,0.839747295673305,0.827097659823777,0.848488123959714,0.837938686533503,0.841586200563199,0.838913014244021,0.805803044060248,0.867521397102108,0.817507045514733,0.932526467012793,0.888891889829822,0.951551157372775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01",0.690502498351615,0.714252735063285,0.694953772233708,0.716362793851838,0.715498877104303,0.716089603975459,0.711102368851779,0.735799268453092,0.722530855962164,0.724643432534245,0.74106899446632,0.763514666145297,0.744433218245643,0.771393373350907,0.77977337934478,0.753998145590072,0.77657873343208,0.766241116101209,0.744618281215832,0.754758847955035,0.72904019272324,0.759277042005989,0.756064946935436,0.762818852146685,0.767118513431366,0.754434363467475,0.73905079335111,0.775844727466292,0.758589936590282,0.801789896567353,0.767830249002825,0.671531052841621,0.754378103374295,0.732282238248992,0.708837280510304,0.739867006503713,0.746836703479802,0.761164284299385,0.748110090143744,0.774283504997045,0.815108264898661,0.810277857202964,0.77453232857045,0.738842668212411,0.735031023671665,0.730493002290107,0.730948618534189,0.755807556920089,0.764455346636166,0.772592868302576,0.784551543689107,0.791674478793787,0.770150260261539,0.746571068258845,0.774139311212244,0.744164101764905,0.773790803817515,0.789646287652627,0.803191578579364,0.807406659351334,0.790567144225949,0.787274961923831,0.821102989240772,0.843369001193973,0.864868279579086,0.837895690597414,0.827990829880282,0.877939539249683,0.840935104199216,0.850385592999835,0.833641860715161,0.856329614298925,0.834793527219736,0.846673223294744,0.844732734046839,0.82238774705625,0.874744866563058,0.818952109684272,0.929356641522195,0.888215083804435,0.927890640613369,0.958514599911561,NA,NA,NA,NA,NA,NA,NA,NA
"2021-10-01",0.669756515349463,0.696094023066776,0.671092809087065,0.696927340835281,0.696834791081112,0.699175781412032,0.690800560086025,0.709464467503926,0.700809016874175,0.690886017222472,0.715164973870436,0.734821848625304,0.721590925379884,0.73909184510726,0.733180191437697,0.725918204466824,0.731141660104088,0.725695746514162,0.697480975688198,0.723054689503289,0.690685146044729,0.725364170379475,0.709118293214499,0.724738078893619,0.732924128793585,0.711389378739405,0.707391665856243,0.75324813316491,0.728563805053706,0.777876078686491,0.75305859388079,0.652358061178696,0.723048576259151,0.716232493994904,0.688695108253184,0.728458683322114,0.726697588969763,0.758411873117119,0.731029789150018,0.753566308436282,0.80660807253463,0.797393051499989,0.761212377339172,0.74542598734995,0.743527176021266,0.745773930401704,0.745330810673266,0.764268840157373,0.764450751243827,0.771779455838814,0.764553320596121,0.777827408627729,0.761743368495599,0.746281869368291,0.767452665732593,0.745852621811156,0.773445762418553,0.788530061477738,0.795483165664135,0.808789434148187,0.789621539013383,0.786538218278985,0.80476800344855,0.836534222497276,0.863149371168805,0.828550389583183,0.822813737580428,0.865111898481442,0.838473471277687,0.840737999473016,0.811541869995579,0.837209104958823,0.827317766453169,0.830525697316403,0.835135996579717,0.813660554899535,0.86432872026036,0.805031902873206,0.90746620970414,0.87916726685722,0.9176403348605,0.945683767072262,0.950925385509648,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",0.676295089198036,0.696437223328966,0.671420966117212,0.694883102916176,0.701386660544795,0.700790891190781,0.695211441741042,0.708188214657423,0.698701939674187,0.697829661646718,0.722758567904177,0.742894817532984,0.733837941671913,0.765809178296358,0.760753403276137,0.739543381271866,0.766872038009969,0.753859290506231,0.721233962497197,0.743488712644665,0.722978689317166,0.754422289093328,0.749060874722421,0.757225601677206,0.7658596970962,0.751301776943364,0.729493153869327,0.778182708551093,0.759115146889725,0.806537201345436,0.783854307632543,0.671637552643097,0.74916408315763,0.738573001517137,0.703283820131432,0.741710166170592,0.749082612101348,0.759149598583962,0.742046512430285,0.760159831669452,0.81754422929334,0.806810148759588,0.761756638200588,0.726084089746879,0.719543411479258,0.716790270196211,0.707696404587496,0.735784101936439,0.741312228142094,0.744332307076505,0.757873634540018,0.766332265360531,0.748249563660744,0.723984249343429,0.748190712178131,0.720639027931091,0.751790578565164,0.768069710802202,0.795181257530114,0.796254961623728,0.77538045484178,0.764656292774968,0.793137796185663,0.827635429731844,0.849551796681572,0.812191868805055,0.795181744135091,0.850915180207582,0.824795473599658,0.831935328501384,0.818859992736581,0.840001714703463,0.83084904810683,0.827936336257605,0.817328046724712,0.787030768382899,0.84704529583007,0.788326036428688,0.9000173939448,0.860131680623838,0.923724422535913,0.946222464329489,0.949638900439881,0.958901361199733,NA,NA,NA,NA,NA,NA
"2022-04-01",0.67743850990944,0.703220166087687,0.682380126915025,0.700168451353433,0.705713490740798,0.71153918293312,0.707089451731893,0.716222867269575,0.707105685194888,0.711408798222723,0.726779626658945,0.753752788743452,0.737016391462847,0.777254697323003,0.777591506683777,0.757903420161775,0.779768784536063,0.772912737683217,0.741131386860028,0.754880531217252,0.733376380092191,0.775150943333095,0.778134630705915,0.773351912778311,0.786826696077887,0.788704940462465,0.759255323471138,0.801960533292871,0.777605482402229,0.83496351195891,0.814909053468356,0.703809180003004,0.773659829626672,0.756057712193313,0.710777747717763,0.752742640224007,0.762333761126472,0.782248928574523,0.756385329345333,0.759926588285162,0.833810075434872,0.827661666410743,0.791081873188581,0.74778347412522,0.7290240463035,0.734445326321531,0.719996374175738,0.746029748671704,0.745218633581791,0.750783002116681,0.7594352626744,0.765242916944616,0.752614716287449,0.733844229971405,0.761899620180124,0.731647955384845,0.759250797797944,0.766001288300762,0.794134640211872,0.786153469616588,0.774324017347729,0.767248703528247,0.7901158444186,0.822779781004656,0.834465774501769,0.79615956414074,0.789577241586422,0.842350958319872,0.815520596566865,0.835964101177534,0.830117499719638,0.846673078767102,0.831624138148065,0.82810917786909,0.817546210451287,0.793504870969546,0.834126233127327,0.793577680354841,0.878843515925336,0.852260649941346,0.90413297704125,0.922359298658049,0.930761919172963,0.930313377072132,0.9641381975567,NA,NA,NA,NA,NA
"2022-07-01",0.674963274415113,0.69139091147488,0.679063340645719,0.696155638555646,0.697622801293914,0.699174152440738,0.702011956400337,0.706609124860253,0.69805837680466,0.706221297206255,0.726919195685574,0.746268314429822,0.735249201529457,0.775649166451285,0.7798988413953,0.751740779625839,0.780278648243362,0.771773082285055,0.745331023868095,0.748932244906428,0.73205278767689,0.774692205152518,0.7888666565054,0.776931525653976,0.786460663078673,0.798140159470971,0.778371123309542,0.819612846042444,0.796379970206303,0.846220661927492,0.836660257334838,0.734423169808291,0.792153077970179,0.77185075997694,0.728849268758048,0.76809255486031,0.773436183080817,0.776247944808755,0.772463781628308,0.766381391064535,0.833285146557244,0.828529046092343,0.794686619373917,0.742672000521617,0.725808358248464,0.731042428108379,0.710876188576458,0.742953380513739,0.748183844817781,0.748871260654786,0.759925700333153,0.759942881639183,0.745796006328255,0.721467263370394,0.759781501825998,0.72767376568124,0.74764272040117,0.751788132585161,0.796738547935994,0.777759438354921,0.761380896225393,0.751921984180022,0.78648684086668,0.814237773901603,0.819983709720817,0.780555388270888,0.778497721969678,0.835312012578537,0.812460294969478,0.833302484344975,0.84168801345847,0.849158617565442,0.837442727255289,0.827165337130658,0.8094481542698,0.775380299629777,0.812390397539018,0.772193256821017,0.865398424318981,0.830718219100728,0.88814406076566,0.903451763916438,0.912044672764883,0.905294500258373,0.942935911987627,0.973543280376764,NA,NA,NA,NA
"2022-10-01",0.655798507846696,0.660869356072644,0.647983022527219,0.67166329566682,0.680691888410427,0.667429724971248,0.683234997833066,0.682495235642748,0.670657847339679,0.684661566464581,0.70794620442669,0.722866516406835,0.720363514740507,0.764316953010179,0.77416450394693,0.728057706613002,0.780855996599683,0.766685346474114,0.733621625145314,0.739401623530494,0.735705764669572,0.767195829709411,0.795117881374784,0.779919326459116,0.781663351611219,0.802904208240509,0.784142757915234,0.83427150343498,0.805559064632691,0.842419632352151,0.83908556705769,0.76189026350571,0.809975923010475,0.79713674130854,0.753381121634176,0.799004391408622,0.803278687770458,0.769816344872441,0.786882199463712,0.778347761684668,0.835515025036276,0.822668241595985,0.782439877171842,0.715483462520764,0.717353964463363,0.715279359430163,0.681841401711387,0.722854592710824,0.741911561475742,0.742294383989517,0.756387053733159,0.752674339849466,0.728192581910974,0.683945440594979,0.725714428235668,0.700999995017365,0.714134923173848,0.726902158825517,0.782900225918963,0.757373100318018,0.738356451004566,0.717123316337055,0.781978164735489,0.800457207211826,0.800740390824612,0.762736787498387,0.749182192786553,0.827569585109417,0.803944115546437,0.812057410686361,0.848777447737778,0.836859311279481,0.83076926593587,0.815418724954285,0.795027060617796,0.749248292865796,0.800486899805583,0.745713876132272,0.857392437362733,0.812525585318705,0.886482816537873,0.895828433193497,0.896703704922678,0.892294223739717,0.9311336321102,0.950218258043749,0.965894168867166,NA,NA,NA
"2023-01-01",0.663401637159434,0.655841373603383,0.646118840920168,0.66563804176274,0.677191058086056,0.661335041157541,0.682951456012481,0.675691661648354,0.669333255007983,0.677651566501459,0.704504453210229,0.713388261631961,0.718398816445733,0.759358564610073,0.76610178727364,0.717692199134932,0.776372936369656,0.76784596273126,0.732780219578535,0.733321936357437,0.739453835503259,0.764040866061685,0.790731473495974,0.774692487492389,0.781980764432257,0.803646449815578,0.790177275071099,0.840720358202451,0.822097431259918,0.848313090700569,0.85282219420304,0.795158497879631,0.833741615247503,0.821911400668874,0.768915647311208,0.814306996856361,0.817653562271969,0.771731115036974,0.786042419482172,0.775630631075706,0.83473213754917,0.822640473807573,0.784880401895064,0.713224730534641,0.727355698458027,0.732837617203063,0.682282886617797,0.722800947671692,0.742624354800583,0.746414318532017,0.755168467123231,0.760306506042524,0.7350842017844,0.683243108392013,0.72157921568937,0.696235764967724,0.703787400820929,0.721593372789757,0.777077199215262,0.751793318917354,0.742998935346097,0.709174671638097,0.78500410768719,0.801913594982379,0.794801182787277,0.763305240959538,0.733698915523632,0.810562130059559,0.793158637574347,0.797744051485381,0.84177832693849,0.821606009383547,0.823670220567814,0.813858667646701,0.793128974659302,0.747391165391155,0.796919913747343,0.734108069457533,0.834595456651789,0.795387038364334,0.86163186210746,0.868878180837603,0.868455721591579,0.86076425848494,0.90409066937421,0.918679728414296,0.93080628443297,0.956397699017378,NA,NA
"2023-04-01",0.661402040541389,0.665359717338013,0.653869643550635,0.669034118125102,0.680699036977863,0.669774182068647,0.688184333987637,0.6777079179791,0.673152699814064,0.687827347601153,0.706697883325137,0.717666482519138,0.718869754371525,0.764490180815222,0.768973819583991,0.725079441574016,0.774443516890203,0.772093601788982,0.736682432355278,0.733758864994855,0.734570379845676,0.771381911833027,0.792242614344486,0.774737742552516,0.782649725462307,0.810933737244933,0.787126795012823,0.837419238283849,0.819167158137132,0.858238392828567,0.860889003028645,0.78744957779715,0.827261026184025,0.823769109649392,0.763376763826981,0.812506074881107,0.818943091950519,0.77714512833028,0.794068102464027,0.777441818954034,0.838475693650083,0.829744462433267,0.787188091537914,0.709623996976725,0.715833989544371,0.726498682760657,0.674129016861832,0.718112540059812,0.733368304891296,0.739321731502289,0.749953144505787,0.751992221192578,0.729398794897134,0.687662192294383,0.725370911112413,0.695179680478722,0.702407616814703,0.719126315961999,0.772640399049356,0.744807862261247,0.738830776129519,0.712658256575997,0.775796983330338,0.796079831896708,0.789500224010176,0.757900779715563,0.727892722653696,0.802691704858986,0.782029437199495,0.794197232616389,0.836280269489272,0.814657812602934,0.816146558387341,0.809546306473398,0.785122159071188,0.742740997345913,0.79283941324175,0.736088554534754,0.836887623109739,0.79029890868404,0.865678219458998,0.877378864998375,0.875710155590963,0.86156861839314,0.906707341348988,0.92972261277604,0.93844526986905,0.957067461717564,0.969242036725576,NA
